minbound,shape,unit
-45,18,9
-117,17,9
0,5,9

IX,IY,IZ,value
3,6,4,35.6376
3,7,0,36.105
3,7,1,36.0366
3,7,2,35.8638
3,7,3,35.6409
3,7,4,35.4029
3,8,0,35.935
3,8,1,35.8585
3,8,2,35.67
3,8,3,35.4376
3,8,4,35.2001
3,9,0,35.9171
3,9,1,35.8064
3,9,2,35.5559
3,9,3,35.2795
3,9,4,35.0224
3,10,0,36.2491
3,10,1,35.9753
3,10,2,35.5246
3,10,3,35.1513
3,10,4,34.8575
3,11,0,38.2019
3,11,1,36.4876
3,11,2,35.5118
3,11,3,35.0122
3,11,4,34.685
3,12,0,38.3673
3,12,1,36.3392
3,12,2,35.3076
3,12,3,34.8047
3,12,4,34.4845
3,13,0,35.6592
3,13,1,35.3494
3,13,2,34.8773
3,13,3,34.5181
3,13,4,34.2512
3,14,0,34.735
3,14,1,34.6374
3,14,2,34.4245
3,14,3,34.2002
3,14,4,33.9988
3,15,0,34.1932
3,15,1,34.1487
3,15,2,34.0363
3,15,3,33.8936
3,15,4,33.745
3,16,0,33.8047
3,16,1,33.7793
3,16,2,33.7102
3,16,3,33.6127
3,16,4,33.5003
4,0,0,48.2104
4,0,1,41.7882
4,0,2,39.3885
4,0,3,38.1266
4,0,4,37.3145
4,1,0,42.6355
4,1,1,40.899
4,1,2,39.1178
4,1,3,37.983
4,1,4,37.2086
4,2,0,39.6873
4,2,1,39.2404
4,2,2,38.3883
4,2,3,37.6046
4,2,4,36.9737
4,3,0,38.2709
4,3,1,38.087
4,3,2,37.6499
4,3,3,37.1439
4,3,4,36.6678
4,4,0,37.4036
4,4,1,37.3042
4,4,2,37.0448
4,4,3,36.7045
4,4,4,36.3469
4,5,0,36.8165
4,5,1,36.7509
4,5,2,36.5727
4,5,3,36.3238
4,5,4,36.0443
4,6,0,36.4012
4,6,1,36.3499
4,6,2,36.2088
4,6,3,36.0071
4,6,4,35.7739
4,7,0,36.1113
4,7,1,36.0638
4,7,2,35.9341
4,7,3,35.7505
4,7,4,35.539
4,8,0,35.9392
4,8,1,35.8845
4,8,2,35.741
4,8,3,35.5487
4,8,4,35.3378
4,9,0,35.9291
4,9,1,35.8399
4,9,2,35.6336
4,9,3,35.3961
4,9,4,35.1641
4,10,0,36.2774
4,10,1,36.0247
4,10,2,35.6155
4,10,3,35.2774
4,10,4,35.0054
4,11,0,38.2091
4,11,1,36.5549
4,11,2,35.6217
4,11,3,35.1512
4,11,4,34.8409
4,12,0,38.4715
4,12,1,36.4439
4,12,2,35.4415
4,12,3,34.9583
4,12,4,34.6488
4,13,0,35.7979
4,13,1,35.4945
4,13,2,35.0348
4,13,3,34.6851
4,13,4,34.4231
4,14,0,34.9032
4,14,1,34.8075
4,14,2,34.5984
4,14,3,34.3769
4,14,4,34.1764
4,15,0,34.3754
4,15,1,34.3312
4,15,2,34.2191
4,15,3,34.0761
4,15,4,33.926
4,16,0,33.9928
4,16,1,33.9671
4,16,2,33.8971
4,16,3,33.7979
4,16,4,33.683
5,0,0,48.5149
5,0,1,41.8711
5,0,2,39.4915
5,0,3,38.2548
5,0,4,37.4601
5,1,0,42.4806
5,1,1,40.8923
5,1,2,39.1939
5,1,3,38.0983
5,1,4,37.3468
5,2,0,39.6931
5,2,1,39.2741
5,2,2,38.4663
5,2,3,37.7163
5,2,4,37.1082
5,3,0,38.3241
5,3,1,38.1512
5,3,2,37.7387
5,3,3,37.258
5,3,4,36.8017
5,4,0,37.4748
5,4,1,37.3828
5,4,2,37.1415
5,4,3,36.8219
5,4,4,36.4819
5,5,0,36.8938
5,5,1,36.835
5,5,2,36.6735
5,5,3,36.4437
5,5,4,36.1806
5,6,0,36.4799
5,6,1,36.4357
5,6,2,36.3116
5,6,3,36.129
5,6,4,35.9118
5,7,0,36.1906
5,7,1,36.1505
5,7,2,36.0385
5,7,3,35.8743
5,7,4,35.6789
5,8,0,36.0202
5,8,1,35.9732
5,8,2,35.848
5,8,3,35.6754
5,8,4,35.4803
5,9,0,36.0131
5,9,1,35.9321
5,9,2,35.7447
5,9,3,35.527
5,9,4,35.3103
5,10,0,36.3593
5,10,1,36.1189
5,10,2,35.7321
5,10,3,35.4141
5,10,4,35.1564
5,11,0,38.2387
5,11,1,36.646
5,11,2,35.746
5,11,3,35.2957
5,11,4,34.9978
5,12,0,38.5822
5,12,1,36.5566
5,12,2,35.5797
5,12,3,35.1128
5,12,4,34.8125
5,13,0,35.9362
5,13,1,35.6388
5,13,2,35.1908
5,13,3,34.8504
5,13,4,34.5937
5,14,0,35.0676
5,14,1,34.974
5,14,2,34.7694
5,14,3,34.5517
5,14,4,34.3529
5,15,0,34.555
5,15,1,34.5114
5,15,2,34.4004
5,15,3,34.2578
5,15,4,34.1071
5,16,0,34.1808
5,16,1,34.155
5,16,2,34.0845
5,16,3,33.9841
5,16,4,33.8671
6,0,0,49.3863
6,0,1,41.9457
6,0,2,39.5882
6,0,3,38.3754
6,0,4,37.5977
6,1,0,42.3299
6,1,1,40.8769
6,1,2,39.2619
6,1,3,38.2056
6,1,4,37.4771
6,2,0,39.693
6,2,1,39.3018
6,2,2,38.5385
6,2,3,37.822
6,2,4,37.2362
6,3,0,38.3801
6,3,1,38.2174
6,3,2,37.8274
6,3,3,37.3696
6,3,4,36.9317
6,4,0,37.5591
6,4,1,37.4726
6,4,2,37.245
6,4,3,36.9414
6,4,4,36.6158
6,5,0,36.9937
6,5,1,36.9388
6,5,2,36.7874
6,5,3,36.5703
6,5,4,36.3189
6,6,0,36.5889
6,6,1,36.548
6,6,2,36.4327
6,6,3,36.2611
6,6,4,36.0542
6,7,0,36.3052
6,7,1,36.2684
6,7,2,36.1648
6,7,3,36.011
6,7,4,35.825
6,8,0,36.1383
6,8,1,36.0948
6,8,2,35.9782
6,8,3,35.8161
6,8,4,35.63
6,9,0,36.1316
6,9,1,36.055
6,9,2,35.8778
6,9,3,35.6713
6,9,4,35.4637
6,10,0,36.4678
6,10,1,36.2373
6,10,2,35.8669
6,10,3,35.5622
6,10,4,35.3137
6,11,0,38.2827
6,11,1,36.7525
6,11,2,35.8832
6,11,3,35.4487
6,11,4,35.1598
6,12,0,38.7006
6,12,1,36.6783
6,12,2,35.7261
6,12,3,35.273
6,12,4,34.9802
6,13,0,36.0802
6,13,1,35.7887
6,13,2,35.3517
6,13,3,35.0197
6,13,4,34.7674
6,14,0,35.2359
6,14,1,35.1444
6,14,2,34.9441
6,14,3,34.73
6,14,4,34.5326
6,15,0,34.7385
6,15,1,34.6955
6,15,2,34.5855
6,15,3,34.4434
6,15,4,34.2917
6,16,0,34.3738
6,16,1,34.3479
6,16,2,34.2768
6,16,3,34.175
6,16,4,34.0554
7,0,0,52.0906
7,0,1,42.0131
7,0,2,39.6815
7,0,3,38.4924
7,0,4,37.7315
7,1,0,42.1696
7,1,1,40.8501
7,1,2,39.3241
7,1,3,38.3092
7,1,4,37.604
7,2,0,39.6865
7,2,1,39.3243
7,2,2,38.6075
7,2,3,37.9252
7,2,4,37.3619
7,3,0,38.437
7,3,1,38.2847
7,3,2,37.9171
7,3,3,37.4816
7,3,4,37.0612
7,4,0,37.6512
7,4,1,37.5696
7,4,2,37.354
7,4,3,37.0646
7,4,4,36.7514
7,5,0,37.1072
7,5,1,37.0552
7,5,2,36.9113
7,5,3,36.7036
